Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001002,male,no,0,graduate,no,5849,0.0,128.0,360.0,1.0,urban,Y
LP001003,male,yes,1,graduate,no,4583,1508.0,128.0,360.0,1.0,rural,N
LP001005,male,yes,0,graduate,yes,3000,0.0,66.0,360.0,1.0,urban,Y
LP001006,male,yes,0,not graduate,no,2583,2358.0,120.0,360.0,1.0,urban,Y
LP001008,male,no,0,graduate,no,6000,0.0,141.0,360.0,1.0,urban,Y
LP001011,male,yes,2,graduate,yes,5417,4196.0,267.0,360.0,1.0,urban,Y
LP001013,male,yes,0,not graduate,no,2333,1516.0,95.0,360.0,1.0,urban,Y
LP001014,male,yes,3+,graduate,no,3036,2504.0,158.0,360.0,0.0,semiurban,N
LP001018,male,yes,2,graduate,no,4006,1526.0,168.0,360.0,1.0,urban,Y
LP001020,male,yes,1,graduate,no,12841,10968.0,349.0,360.0,1.0,semiurban,N
LP001024,male,yes,2,graduate,no,3200,700.0,70.0,360.0,1.0,urban,Y
LP001027,male,yes,2,graduate,no,2500,1840.0,109.0,360.0,1.0,urban,Y
LP001028,male,yes,2,graduate,no,3073,8106.0,200.0,360.0,1.0,urban,Y
LP001029,male,no,0,graduate,no,1853,2840.0,114.0,360.0,1.0,rural,N
LP001030,male,yes,2,graduate,no,1299,1086.0,17.0,120.0,1.0,urban,Y
LP001032,male,no,0,graduate,no,4950,0.0,125.0,360.0,1.0,urban,Y
LP001034,male,no,1,not graduate,no,3596,0.0,100.0,240.0,1.0,urban,Y
LP001036,female,no,0,graduate,no,3510,0.0,76.0,360.0,0.0,urban,N
LP001038,male,yes,0,not graduate,no,4887,0.0,133.0,360.0,1.0,rural,N
LP001041,male,yes,0,graduate,no,2600,3500.0,115.0,360.0,1.0,urban,Y
LP001043,male,yes,0,not graduate,no,7660,0.0,104.0,360.0,0.0,urban,N
LP001046,male,yes,1,graduate,no,5955,5625.0,315.0,360.0,1.0,urban,Y
LP001047,male,yes,0,not graduate,no,2600,1911.0,116.0,360.0,0.0,semiurban,N
LP001050,male,yes,2,not graduate,no,3365,1917.0,112.0,360.0,0.0,rural,N
LP001052,male,yes,1,graduate,no,3717,2925.0,151.0,360.0,1.0,semiurban,N
LP001066,male,yes,0,graduate,yes,9560,0.0,191.0,360.0,1.0,semiurban,Y
LP001068,male,yes,0,graduate,no,2799,2253.0,122.0,360.0,1.0,semiurban,Y
LP001073,male,yes,2,not graduate,no,4226,1040.0,110.0,360.0,1.0,urban,Y
LP001086,male,no,0,not graduate,no,1442,0.0,35.0,360.0,1.0,urban,N
LP001087,female,no,2,graduate,no,3750,2083.0,120.0,360.0,1.0,semiurban,Y
LP001091,male,yes,1,graduate,no,4166,3369.0,201.0,360.0,1.0,urban,N
LP001095,male,no,0,graduate,no,3167,0.0,74.0,360.0,1.0,urban,N
